ID,SEX,EDUCATION,MARRIAGE,AGE
1,2,2,1,24
2,2,2,2,26
3,2,2,2,34
4,2,2,1,37
5,1,2,1,57
6,1,1,2,37
7,1,1,2,29
8,2,2,2,23
9,2,3,1,28
10,1,3,2,35
11,2,3,2,34
12,2,1,2,51
13,2,2,2,41
14,1,2,2,30
15,1,1,2,29
16,2,3,3,23
17,1,1,2,24
18,1,1,1,49
19,2,1,1,49
20,2,1,2,29
21,2,3,2,39
22,2,2,1,39
23,2,2,2,26
24,2,1,1,40
25,1,1,2,23
26,1,3,2,23
27,1,1,2,27
28,2,3,2,30
29,2,3,1,47
30,1,1,2,26
31,2,1,2,27
32,1,2,2,33
33,1,1,2,32
34,2,2,1,54
35,1,1,1,58
36,1,1,2,30
37,1,2,1,40
38,2,2,2,22
39,1,1,2,25
40,1,1,2,31
41,1,1,2,33
42,2,1,2,25
43,1,2,2,22
44,2,2,1,37
45,2,1,2,30
46,1,1,2,29
47,2,1,2,22
48,2,5,2,46
49,1,2,2,32
50,1,1,2,24
51,1,3,2,42
52,2,3,3,43
53,2,2,1,49
54,2,1,2,25
55,2,1,2,29
56,2,1,1,45
57,2,3,1,34
58,2,2,1,34
59,2,1,2,34
60,2,2,1,29
61,2,3,1,28
62,1,2,1,39
63,1,1,2,29
64,2,2,1,46
65,2,2,1,51
66,1,1,1,57
67,1,2,1,56
68,2,1,2,30
69,2,3,2,29
70,1,5,2,22
71,1,1,2,31
72,1,2,2,29
73,2,2,1,32
74,2,1,2,37
75,1,1,2,32
76,1,2,2,24
77,1,3,2,25
78,2,1,1,45
79,2,2,2,22
80,2,2,2,44
81,2,3,3,33
82,2,1,2,26
83,1,3,2,30
84,2,2,1,44
85,2,3,2,49
86,1,2,2,33
87,2,1,1,45
88,2,2,2,32
89,2,1,1,35
90,1,3,2,44
91,1,1,1,53
92,2,1,2,39
93,2,1,2,27
94,2,2,1,37
95,2,2,2,23
96,1,2,2,35
97,1,1,1,43
